iter	Passed	Remaining
729	851	314
730	852	313
731	853	312
732	854	311
733	855	309
734	856	308
735	857	307
736	858	306
737	859	305
738	860	303
739	861	302
740	862	301
741	863	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	292
748	870	291
749	871	290
750	872	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	282
757	879	280
758	880	279
759	881	278
760	882	277
761	883	276
762	884	274
763	885	273
764	886	272
765	887	271
766	888	270
767	889	268
768	891	267
769	892	266
770	893	265
771	894	264
772	895	262
773	896	261
774	897	260
775	898	259
776	899	258
777	900	256
778	901	255
779	902	254
780	903	253
781	904	252
782	905	250
783	906	249
784	907	248
785	908	247
786	909	246
787	910	244
788	911	243
789	912	242
790	913	241
791	914	240
792	915	238
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	922	230
800	923	229
801	925	228
802	926	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	932	220
809	933	219
810	934	217
811	936	216
812	937	215
813	938	214
814	939	213
815	940	212
816	941	210
817	942	209
818	943	208
819	944	207
820	945	206
821	946	204
822	947	203
823	948	202
824	949	201
825	950	200
826	951	199
827	952	197
828	953	196
829	954	195
830	955	194
831	956	193
832	957	191
833	958	190
834	959	189
835	960	188
836	961	187
837	962	186
838	963	184
839	964	183
840	965	182
841	966	181
842	968	180
843	969	179
844	971	178
845	972	177
846	973	175
847	974	174
848	975	173
849	976	172
850	977	171
851	978	170
852	979	168
853	980	167
854	981	166
855	982	165
856	983	164
857	984	163
858	985	161
859	986	160
860	987	159
861	989	158
862	990	157
863	991	156
864	992	154
865	993	153
866	994	152
867	995	151
868	997	150
869	998	149
870	999	147
871	1000	146
872	1001	145
873	1002	144
874	1003	143
875	1005	142
876	1007	141
877	1009	140
878	1010	139
879	1011	137
880	1012	136
881	1013	135
882	1014	134
883	1015	133
884	1016	132
885	1017	130
886	1018	129
887	1019	128
888	1020	127
889	1021	126
890	1023	125
891	1024	124
892	1025	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1038	108
905	1039	107
906	1040	106
907	1041	105
908	1042	104
909	1043	103
910	1044	102
911	1045	100
912	1046	99
913	1047	98
914	1048	97
915	1049	96
916	1050	95
917	1051	93
918	1052	92
919	1054	91
920	1055	90
921	1056	89
922	1057	88
923	1058	87
924	1060	85
925	1061	84
926	1062	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1069	75
934	1070	74
935	1071	73
936	1072	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1080	62
945	1082	61
946	1083	60
947	1084	59
948	1085	58
949	1087	57
950	1088	56
951	1089	54
952	1090	53
953	1091	52
954	1092	51
955	1093	50
956	1094	49
957	1095	48
958	1096	46
959	1097	45
960	1098	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1103	38
966	1104	37
967	1105	36
968	1106	35
969	1107	34
970	1108	33
971	1109	31
972	1111	30
973	1112	29
974	1113	28
975	1114	27
976	1115	26
977	1116	25
978	1117	23
979	1118	22
980	1119	21
981	1120	20
982	1121	19
983	1122	18
984	1123	17
985	1124	15
986	1125	14
987	1126	13
988	1127	12
989	1129	11
990	1130	10
991	1131	9
992	1132	7
993	1133	6
994	1134	5
995	1135	4
996	1136	3
997	1137	2
998	1138	1
999	1139	0
